id,county,project name,description of the farm,soil depth cm,soil ph,soil ph class,exch acidity me,total nitrogen,total nitrogenclass,total org carbon,total org carbonclass,phosphorus olsen,phosphorus olsen class,potassium meq,potassium meqclass,calcium meq,calcium meqclass,magnesium meq,magnesium meqclass,manganese meq,manganese meqclass,copper,copper class,iron,iron class,zinc,zinc class,sodium meq,sodium meqclass,final latitude,final longitude,crop,fertilizer recommendation
163,Nakuru,Individual,Nakuru,,6.18,slight acid,0.5,0.18,low,1.28,low,7.0,low,0.88,adequate,3.3,adequate,1.25,adequate,1.15,adequate,0.75,low,106.0,adequate,5.93,adequate,0.17,adequate,-0.484889388,36.14855194,"Tomato, brinjals, cucumber","The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil copper and organic matter should be improved. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN at the start of flowering is beneficial. 
Brinjals (Baby marrow): Prior to transplanting apply 5 tons/acre of well decomposed manure or compost and 100 kg/acre of N:P:K 23:23:0. Top dressing should be done once per month for four months with 20 kg/acre of CAN. 
Cucumber: During the land preparation apply 5 tons/acre of well decomposed manure/ compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top-dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN."
384,Nakuru,Individual,"Njoro, Nakuru",,6.05,slight acid,0.5,0.15,low,1.62,moderate,43.0,adequate,1.75,high,6.0,adequate,3.56,high,1.72,adequate,1.41,adequate,97.48,adequate,27.5,adequate,0.22,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
385,Nakuru,Individual,"Njoro, Nakuru",,6.03,slight acid,0.5,0.16,low,1.63,moderate,39.0,adequate,1.86,high,6.4,adequate,3.85,high,1.77,adequate,1.12,adequate,131.02,adequate,24.2,adequate,0.32,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
386,Nakuru,Individual,"Njoro, Nakuru",,6.27,slight acid,0.5,0.15,low,1.45,moderate,39.0,adequate,1.5,adequate,5.2,adequate,3.78,high,1.69,adequate,1.32,adequate,124.81,adequate,20.1,adequate,0.26,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
387,Nakuru,Individual,"Njoro, Nakuru",,6.12,slight acid,0.5,0.18,low,1.81,moderate,51.0,adequate,1.96,high,8.0,adequate,4.56,high,1.46,adequate,1.05,adequate,92.78,adequate,32.82,adequate,0.3,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
388,Nakuru,Individual,"Njoro, Nakuru",,6.12,slight acid,0.5,0.14,low,1.4,moderate,45.0,adequate,1.46,adequate,5.8,adequate,3.8,high,1.95,adequate,0.96,low,109.17,adequate,12.19,adequate,0.28,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen and copper are deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. The seeds should be dressed with 1 kg of copper oxychloride per 100 kg seeds. This must be followed with a foliar spray of copper oxychloride at 400 gm/acre mixed with a herbicide. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
389,Nakuru,Individual,"Njoro, Nakuru",,6.25,slight acid,0.5,0.17,low,1.76,moderate,41.0,adequate,1.39,adequate,6.8,adequate,4.87,high,1.97,adequate,0.44,low,148.43,adequate,5.8,adequate,0.44,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen and copper are deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. The seeds should be dressed with 1 kg of copper oxychloride per 100 kg seeds. This must be followed with a foliar spray of copper oxychloride at 400 gm/acre mixed with a herbicide. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
390,Nakuru,Individual,"Njoro, Nakuru",,6.47,slight acid,0.5,0.13,low,1.35,moderate,40.0,adequate,1.55,high,6.0,adequate,4.25,high,1.99,adequate,0.24,low,81.98,adequate,7.53,adequate,0.26,adequate,-0.484889388,36.14855194,"Barley, wheat","All fields have similar soil fertility conditions. The soil pH is satisfactory for crops' growth. Nitrogen and copper are deficient. Soil organic matter content is moderate. 
Wheat/ 
Barley: Apply 2 tons/acre of  well decomposed manure or compost during early seedbed preparation. The seeds should be dressed with 1 kg of copper oxychloride per 100 kg seeds. This must be followed with a foliar spray of copper oxychloride at 400 gm/acre mixed with a herbicide. At planting time apply by spreading 80 kg/acre of compound fertilizer N:P:K 23:23:0. Rotation of 3 years wheat followed by 3 years of grass helps to maintain the soil structure and greatly reduces disease incidence. "
707,Nakuru,Individual,"Naivasha, Nakuru",,7.11,slight alkaline,0.5,0.13,low,0.85,low,32.0,high,2.43,high,18.7,high,3.48,adequate,0.64,adequate,23.2,adequate,129.0,adequate,30.1,adequate,1.15,adequate,-0.484889388,36.14855194,"Tomato, melons, broccoli","Both fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Tomatoes: Prior to transplanting apply 4 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ammonium sulphate (AS). Top dress with 40 kg/acre of AS when plants are 25 cm high. An application of 80 kg/acre of AS at the start of flowering is beneficial. 
Broccoli: During transplanting apply two handfuls per planting hole of well decomposed manure or compost and 100 kg/acre of AS. Top dress with 40 kg/acre of AS when plants are 20 cm high followed by 80 kg/acre of AS three weeks later. 
Melons/ Butternut: At planting time apply up to 4 tons/acre of well decomposed manure or compost and mix well with the soil. At transplanting apply 100 kg/acre of AS. After thinning the crop is top dressed with 60 kg/acre of AS followed by 120 kg/acre of AS prior to flowering. "
708,Nakuru,Individual,"Naivasha, Nakuru",,7.02,slight alkaline,0.5,0.15,low,1.12,low,14.5,adequate,2.04,high,22.5,high,4.84,adequate,2.08,adequate,2.69,adequate,86.6,adequate,51.4,adequate,1.65,adequate,-0.484889388,36.14855194,"Tomato, melons, broccoli","Both fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Nitrogen is deficient. Soil organic matter should be improved. 
Tomatoes: Prior to transplanting apply 4 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of ammonium sulphate (AS). Top dress with 40 kg/acre of AS when plants are 25 cm high. An application of 80 kg/acre of AS at the start of flowering is beneficial. 
Broccoli: During transplanting apply two handfuls per planting hole of well decomposed manure or compost and 100 kg/acre of AS. Top dress with 40 kg/acre of AS when plants are 20 cm high followed by 80 kg/acre of AS three weeks later. 
Melons/ Butternut: At planting time apply up to 4 tons/acre of well decomposed manure or compost and mix well with the soil. At transplanting apply 100 kg/acre of AS. After thinning the crop is top dressed with 60 kg/acre of AS followed by 120 kg/acre of AS prior to flowering. "
